"url","Name","Name_link","State","Date_established","Area"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Acadia","https://en.wikipedia.org/wiki/Acadia_National_Park","Maine","February 26, 1919","49,075.26 acres (198.6 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","American Samoa","https://en.wikipedia.org/wiki/National_Park_of_American_Samoa","American Samoa","October 31, 1988","8,256.67 acres (33.4 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Arches","https://en.wikipedia.org/wiki/Arches_National_Park","Utah","November 12, 1971","76,678.98 acres (310.3 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Badlands","https://en.wikipedia.org/wiki/Badlands_National_Park","South Dakota","November 10, 1978","242,755.94 acres (982.4 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Big Bend","https://en.wikipedia.org/wiki/Big_Bend_National_Park","Texas","June 12, 1944","801,163.21 acres (3,242.2 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Biscayne","https://en.wikipedia.org/wiki/Biscayne_National_Park","Florida","June 28, 1980","172,971.11 acres (700.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Black Canyon of the Gunnison","https://en.wikipedia.org/wiki/Black_Canyon_of_the_Gunnison_National_Park","Colorado","October 21, 1999","30,779.83 acres (124.6 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Bryce Canyon","https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park","Utah","February 25, 1928","35,835.08 acres (145.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Canyonlands","https://en.wikipedia.org/wiki/Canyonlands_National_Park","Utah","September 12, 1964","337,597.83 acres (1,366.2 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Capitol Reef","https://en.wikipedia.org/wiki/Capitol_Reef_National_Park","Utah","December 18, 1971","241,904.50 acres (979.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Carlsbad Caverns","https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park","New Mexico","May 14, 1930","46,766.45 acres (189.3 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Channel Islands","https://en.wikipedia.org/wiki/Channel_Islands_National_Park","California","March 5, 1980","249,561.00 acres (1,009.9 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Congaree","https://en.wikipedia.org/wiki/Congaree_National_Park","South Carolina","November 10, 2003","26,639.99 acres (107.8 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Crater Lake","https://en.wikipedia.org/wiki/Crater_Lake_National_Park","Oregon","May 22, 1902","183,224.05 acres (741.5 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Cuyahoga Valley","https://en.wikipedia.org/wiki/Cuyahoga_Valley_National_Park","Ohio","October 11, 2000","32,571.88 acres (131.8 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Death Valley","https://en.wikipedia.org/wiki/Death_Valley_National_Park","California","October 31, 1994","3,372,981.42 acres (13,650.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Denali","https://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve","Alaska","February 26, 1917","4,740,911.16 acres (19,185.8 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Dry Tortugas","https://en.wikipedia.org/wiki/Dry_Tortugas_National_Park","Florida","October 26, 1992","64,701.22 acres (261.8 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Everglades","https://en.wikipedia.org/wiki/Everglades_National_Park","Florida","May 30, 1934","1,508,938.57 acres (6,106.5 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Gates of the Arctic","https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Park_and_Preserve","Alaska","December 2, 1980","7,523,897.45 acres (30,448.1 km"
